"instance_id","solver","time","type"
"g13-g106","lad",145,"alg"
"g13-g107","lad",75,"alg"
"g13-g108","lad",82,"alg"
"g13-g110","lad",9651,"alg"
"g13-g111","lad",162,"alg"
"g13-g112","lad",86,"alg"
"g13-g20","lad",426,"alg"
"g13-g27","lad",180,"alg"
"g13-g43","lad",20,"alg"
"g13-g49","lad",628,"alg"
"g13-g51","lad",212,"alg"
"g13-g60-normed","lad",68,"alg"
"g13-g64","lad",1e+08,"alg"
"g13-g68","lad",626,"alg"
"g13-g73-normed","lad",226,"alg"
"g13-g76","lad",1540,"alg"
"g13-g77","lad",1059,"alg"
"g13-g84","lad",1588,"alg"
"g13-g93-normed","lad",1684317,"alg"
"g14-g104","lad",88,"alg"
"g14-g105","lad",89,"alg"
"g14-g106","lad",660,"alg"
"g14-g107","lad",231,"alg"
"g14-g108","lad",328,"alg"
"g14-g110","lad",13312,"alg"
"g14-g111","lad",718,"alg"
"g14-g112","lad",80,"alg"
"g14-g15","lad",0,"alg"
"g14-g20","lad",6488,"alg"
"g14-g23","lad",3,"alg"
"g14-g26","lad",5,"alg"
"g14-g27","lad",24851,"alg"
"g14-g29","lad",42,"alg"
"g14-g30","lad",30,"alg"
"g14-g31","lad",48,"alg"
"g14-g40","lad",74,"alg"
"g14-g43","lad",21,"alg"
"g14-g44","lad",70,"alg"
"g14-g45","lad",60,"alg"
"g14-g46","lad",22,"alg"
"g14-g47","lad",24,"alg"
"g14-g48","lad",26,"alg"
"g14-g49","lad",7719,"alg"
"g14-g51","lad",17461,"alg"
"g14-g58-normed","lad",1,"alg"
"g14-g59-normed","lad",1,"alg"
"g14-g60-normed","lad",34,"alg"
"g14-g63","lad",340,"alg"
"g14-g64","lad",1e+08,"alg"
"g14-g68","lad",293414,"alg"
"g14-g73-normed","lad",2285,"alg"
"g14-g76","lad",597,"alg"
"g14-g77","lad",931,"alg"
"g14-g84","lad",1118,"alg"
"g14-g93-normed","lad",11437938,"alg"
"g15-g106","lad",100,"alg"
"g15-g107","lad",60,"alg"
"g15-g108","lad",65,"alg"
"g15-g110","lad",10342,"alg"
"g15-g111","lad",105,"alg"
"g15-g112","lad",78,"alg"
"g15-g20","lad",64,"alg"
"g15-g27","lad",18,"alg"
"g15-g40","lad",72,"alg"
"g15-g43","lad",4197,"alg"
"g15-g51","lad",181,"alg"
"g15-g60-normed","lad",85,"alg"
"g15-g64","lad",4656246,"alg"
"g15-g68","lad",823,"alg"
"g15-g73-normed","lad",1299,"alg"
"g15-g76","lad",776,"alg"
"g15-g77","lad",1155,"alg"
"g15-g84","lad",1877,"alg"
"g15-g93-normed","lad",3723883,"alg"
"g16-g103","lad",6633,"alg"
"g16-g104","lad",348,"alg"
"g16-g105","lad",350,"alg"
"g16-g106","lad",3864,"alg"
"g16-g107","lad",1167,"alg"
"g16-g108","lad",1479,"alg"
"g16-g110","lad",22936,"alg"
"g16-g111","lad",4183,"alg"
"g16-g112","lad",57,"alg"
"g16-g20","lad",1e+08,"alg"
"g16-g23","lad",0,"alg"
"g16-g26","lad",1,"alg"
"g16-g27","lad",1976,"alg"
"g16-g29","lad",2169,"alg"
"g16-g30","lad",2118,"alg"
"g16-g31","lad",21335,"alg"
"g16-g37","lad",38,"alg"
"g16-g38","lad",1,"alg"
"g16-g40","lad",152,"alg"
"g16-g43","lad",1e+08,"alg"
"g16-g44","lad",4398,"alg"
"g16-g45","lad",4202,"alg"
"g16-g46","lad",367,"alg"
"g16-g47","lad",352,"alg"
"g16-g48","lad",891,"alg"
"g16-g49","lad",107616,"alg"
"g16-g50","lad",195,"alg"
